Date,Rank,Signal,Zum,Nate,Google
202402112152,3,지창욱 흡연,귀경길 새벽,너를 만났다,리버풀
202402112152,4,미운 우리 새끼,이천수 코인 부인,살해 옆에서 구속,PSG
202402112152,5,너를 만났다,임영웅,이스라엘의 지상전 협상도,이천수 코인
202402112152,6,레버쿠젠,이준석 이낙연,조국 총선 출마,더문
202402112152,7,살해 옆에서 구속,이종원 이하늬,흡연 실내흡연 부적절했다,설 특선영화
202402112152,8,이천수 부인 코인,지창욱 흡연,연휴 마지막 미세먼지,다이어
202402112152,9,이스라엘의 지상전 협상도,승리 캄보디아,할아버지도 육아휴직 쓰게,축구 감독 클린스만
202402112152,10,리버풀,제천 약초,10일에 날짜 미정,전희철 감독
202402112221,1,너를 만났다,이준석 이낙연,너를 만났다,레버쿠젠
202402112221,2,지창욱 흡연,귀경길 새벽,이상민,지창욱 흡연
202402112221,3,이상민,라파 지상전 이스라엘,개혁신당 첫 회의,리버풀
202402112221,4,이준석 이낙연,이천수 코인 부인,효심이네 하준 지키기,PSG
202402112221,5,개혁신당 첫회의 위성정당,임영웅,의협 15일 집단행동,이천수 코인
202402112221,6,조국 총선 출마,권성동 클린스만 감독,옆에서 30대 구속,더문
202402112221,7,레버쿠젠,지창욱 흡연,흡연 논란 실내흡연,설 특선영화
202402112221,8,귀경길 새벽,이종원 이하늬,문재인 전 대통령,다이어
202402112221,9,이천수 코인 부인,승리 캄보디아,이재명 묘사 사실무근,축구 감독 클린스만
202402112221,10,라파 지상전 이스라엘,제천 약초,대한항공 74일 만에,전희철 감독
202402112232,1,너를 만났다,이준석 이낙연,너를 만났다,레버쿠젠
202402112232,2,지창욱 흡연,귀경길 새벽,이상민,지창욱 흡연
202402112232,3,이상민,라파 지상전 이스라엘,개혁신당 첫 회의,리버풀
202402112232,4,이준석 이낙연,이천수 코인 부인,효심이네 하준 지키기,PSG
202402112232,5,개혁신당 첫 회의,임영웅,의협 15일 집단행동,이천수 코인
202402112232,6,레버쿠젠,권성동 클린스만 감독,옆에서 30대 구속,더문
202402112232,7,귀경길 새벽,지창욱 흡연,흡연 논란 실내흡연,설 특선영화
202402112232,8,라파 지상전 이스라엘,이종원 이하늬,문재인 전 대통령,다이어
202402112232,9,이천수 코인 부인,승리 캄보디아,이재명 묘사 사실무근,축구 감독 클린스만
202402112232,10,효심이네 하준 지키기,제천 약초,대한항공 74일 만에,전희철 감독
202402112242,1,너를 만났다,이준석 이낙연,너를 만났다,레버쿠젠
202402112242,2,지창욱 흡연,귀경길 새벽,이동건,지창욱 흡연
202402112242,3,이상민,라파 지상전 이스라엘,이낙연 개혁신당 위성정당,리버풀
202402112242,4,이준석 이낙연,이천수 코인 부인,증원 반대 의협,PSG
202402112242,5,개혁신당 첫 회의,임영웅,이천수 코인사기 연루,이천수 코인
202402112242,6,레버쿠젠,권성동 클린스만 감독,세작,더문
202402112242,7,귀경길 새벽,지창욱 흡연,음주운전하다 들이받은,설 특선영화
202402112242,8,라파 지상전 이스라엘,이종원 이하늬,점심 지하화 경쟁,다이어
202402112242,9,이천수 코인 부인,승리 캄보디아,왜 명절에 안,축구 감독 클린스만
202402112242,10,효심이네 하준 지키기,제천 약초,설날 살해하고 옆에서,전희철 감독
202402112252,1,너를 만났다,이준석 이낙연,너를 만났다,레버쿠젠
202402112252,2,지창욱 흡연,귀경길 새벽,이동건,지창욱 흡연
202402112252,3,이상민,라파 지상전 이스라엘,이낙연 개혁신당 위성정당,리버풀
202402112252,4,이준석 이낙연,이천수 코인 부인,증원 반대 의협,PSG
202402112252,5,개혁신당 첫 회의,임영웅,이천수 코인사기 연루,이천수 코인
202402112252,6,레버쿠젠,권성동 클린스만 감독,세작,더문
202402112252,7,귀경길 새벽,지창욱 흡연,음주운전하다 들이받은,설 특선영화
202402112252,8,라파 지상전 이스라엘,이종원 이하늬,점심 지하화 경쟁,다이어
202402112252,9,이천수 코인 부인,승리 캄보디아,왜 명절에 안,축구 감독 클린스만
202402112252,10,효심이네 하준 지키기,제천 약초,설날 살해하고 옆에서,전희철 감독
202402112324,1,너를 만났다,이준석 이낙연,너를 만났다,레버쿠젠
202402112324,2,이준석 이낙연,귀경길 새벽,나선욱,지창욱 흡연
202402112324,3,이천수 코인 부인,라파 지상전 이스라엘,김정은 초밀착 금주,리버풀
202402112324,4,김정은 초밀착 입금돼면,이천수 코인 부인,증원 의협 집단행동,이천수 코인
202402112324,5,지창욱 흡연,임영웅,조정석 신세경 첫날밤으로,PSG
202402112324,6,권성동 클린스만 감독,권성동 클린스만 감독,설날 살해하고 구속,설특선 영화
202402112324,7,레버쿠젠,지창욱 흡연,쫓아오자 흉기 휘두른,다이어
202402112324,8,귀경길 새벽,이종원 이하늬,이낙연 이준석 등,축구 감독 클린스만
202402112324,9,세작,승리 캄보디아,클린스만 이틀만에 떠났다,전희철 감독
202402112324,10,라파 지상전 이스라엘,제천 약초,정치권도 경질 축구협회,로또복권 1106회 당첨번호
202402112331,1,이준석 이낙연,이준석 이낙연,너를 만났다,레버쿠젠
202402112331,2,너를 만났다,귀경길 새벽,나선욱,지창욱 흡연
202402112331,3,나선욱,라파 지상전 이스라엘,김정은 초밀착 금주,리버풀
202402112331,4,지창욱 흡연,이천수 코인 부인,증원 의협 집단행동,이천수 코인
202402112331,5,김정은 초밀착 금주,임영웅,조정석 신세경 첫날밤으로,PSG
202402112331,6,레버쿠젠,권성동 클린스만 감독,설날 살해하고 구속,설특선 영화
202402112331,7,귀경길 새벽,지창욱 흡연,쫓아오자 흉기 휘두른,다이어
202402112331,8,이천수 코인 부인,이종원 이하늬,이낙연 이준석 등,축구 감독 클린스만
202402112331,9,권성동 클린스만 감독,승리 캄보디아,클린스만 이틀만에 떠났다,전희철 감독
202402112331,10,증원 의협 집단행동,제천 약초,정치권도 경질 축구협회,로또복권 1106회 당첨번호
202402112341,1,이준석 이낙연,이준석 이낙연,너를 만났다,레버쿠젠
202402112341,2,너를 만났다,귀경길 새벽,나선욱,지창욱 흡연
202402112341,3,나선욱,라파 지상전 이스라엘,수트 공개 금주,리버풀
202402112341,4,지창욱 흡연,이천수 코인 부인,의대 의협 15일,이천수 코인
202402112341,5,김정은 초밀착 금주,임영웅,신세경 확인 연모한,PSG
202402112341,6,레버쿠젠,권성동 클린스만 감독,이강인을 찬스 크로스,설특선 영화
202402112341,7,귀경길 새벽,지창욱 흡연,아기 1주일간 엄마,다이어
202402112341,8,이천수 코인 부인,이종원 이하늬,막바지 꽉 막힌,축구 감독 클린스만
202402112341,9,권성동 클린스만 감독,승리 캄보디아,클린스만 이틀만에 떠났다,전희철 감독
202402112341,10,증원 의협 집단행동,제천 약초,클린스만 축구협회 정몽규,로또복권 1106회 당첨번호
202402112352,1,너를 만났다,이준석 이낙연,너를 만났다,레버쿠젠
202402112352,2,나선욱,귀경길 새벽,나선욱,지창욱 흡연
202402112352,3,지창욱 흡연,라파 지상전 이스라엘,수트 공개 금주,리버풀
202402112352,4,이준석 이낙연,이천수 코인 부인,의대 의협 15일,이천수 코인
202402112352,5,권성동 클린스만 감독,임영웅,신세경 확인 연모한,PSG
202402112352,6,수트 공개 금주,권성동 클린스만 감독,이강인을 찬스 크로스,설특선 영화
202402112352,7,레버쿠젠,지창욱 흡연,아기 1주일간 엄마,다이어
202402112352,8,귀경길 새벽,이종원 이하늬,막바지 꽉 막힌,축구 감독 클린스만
202402112352,9,이천수 코인 부인,승리 캄보디아,클린스만 이틀만에 떠났다,전희철 감독
202402112352,10,의대 의협 15일,제천 약초,클린스만 축구협회 정몽규,로또복권 1106회 당첨번호
202402120022,1,너를 만났다,이준석 이낙연,나선욱,레버쿠젠
202402120022,2,나선욱,귀경길 새벽,성혁,지창욱 흡연
202402120022,3,지창욱 흡연,라파 지상전 이스라엘,리바운드 영화,리버풀
202402120022,4,이준석 이낙연,이천수 코인 부인,너를 만났다,이천수 코인
202402120022,5,권성동 클린스만 감독,임영웅,비공식작전,PSG
202402120022,6,수트 공개 금주,권성동 클린스만 감독,살인자 O난감,설특선 영화
202402120022,7,레버쿠젠,지창욱 흡연,범죄도시 2,다이어
202402120022,8,귀경길 새벽,이종원 이하늬,이동건,축구 감독 클린스만
202402120022,9,이천수 코인 부인,승리 캄보디아,세작,전희철 감독
202402120022,10,의대 의협 15일,제천 약초,박광재,로또복권 1106회 당첨번호
202402120032,1,나선욱,이준석 이낙연,나선욱,레버쿠젠
202402120032,2,성혁,귀경길 새벽,리바운드 영화,지창욱 흡연
202402120032,3,리바운드 영화,라파 지상전 이스라엘,범죄도시 2,리버풀
202402120032,4,지창욱 흡연,이천수 코인 부인,비공식작전,이천수 코인
202402120032,5,이준석 이낙연,임영웅,살인자 O난감,PSG
202402120032,6,레버쿠젠,권성동 클린스만 감독,성혁,설특선 영화
202402120032,7,귀경길 새벽,지창욱 흡연,세작,다이어
202402120032,8,이천수 코인 부인,이종원 이하늬,너를 만났다,축구 감독 클린스만
202402120032,9,너를 만났다,승리 캄보디아,이동건,전희철 감독
202402120032,10,라파 지상전 이스라엘,제천 약초,미운 우리 새끼,로또복권 1106회 당첨번호
202402120042,1,나선욱,이준석 이낙연,나선욱,레버쿠젠
202402120042,2,리바운드 영화,귀경길 새벽,리바운드 영화,지창욱 흡연
202402120042,3,지창욱 흡연,라파 지상전 이스라엘,범죄도시 2,리버풀
202402120042,4,이준석 이낙연,이천수 코인 부인,살인자 O난감,이천수 코인
202402120042,5,범죄도시 2,임영웅,비공식작전,PSG
202402120042,6,레버쿠젠,권성동 클린스만 감독,세작,설특선 영화
202402120042,7,귀경길 새벽,지창욱 흡연,너를 만났다,다이어
202402120042,8,이천수 코인 부인,이종원 이하늬,설 특선영화,축구 감독 클린스만
202402120042,9,비공식작전,승리 캄보디아,미운 우리 새끼,전희철 감독
202402120042,10,라파 지상전 이스라엘,제천 약초,성혁,로또복권 1106회 당첨번호
